"user_id","donates"
1,0
2,1
3,1
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,0
14,1
15,0
16,1
17,0
18,0
19,1
20,1
21,1
22,1
23,0
24,0
25,0
26,0
27,0
28,1
29,0
30,1
31,0
32,1
33,1
34,0
35,0
36,0
37,1
38,1
39,0
40,1
41,0
42,0
43,1
44,0
45,0
46,0
47,1
48,1
49,0
50,0
51,0
52,0
53,0
54,1
55,0
56,1
57,0
58,0
59,0
60,1
61,0
62,0
63,1
64,1
65,1
66,0
67,0
68,0
69,1
70,0
71,1
72,0
73,0
74,1
75,0
76,1
77,0
78,0
79,0
80,1
81,0
82,0
83,0
84,0
85,1
86,1
87,0
88,1
89,1
90,0
91,0
92,0
93,0
94,0
95,1
96,1
97,0
98,0
99,0
100,0
101,0
102,1
103,1
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,1
113,0
114,1
115,0
116,1
117,0
118,0
119,1
120,1
121,1
122,1
123,0
124,0
125,0
126,0
127,0
128,1
129,0
130,1
131,0
132,1
133,1
134,0
135,0
136,0
137,1
138,1
139,0
140,1
141,0
142,0
143,1
144,0
145,0
146,0
147,1
148,1
149,0
150,0
151,0
152,0
153,0
154,1
155,0
156,1
157,0
158,0
159,0
160,1
161,0
162,0
163,1
164,1
165,1
166,0
167,0
168,0
169,1
170,0
171,1
172,0
173,0
174,1
175,0
176,1
177,0
178,0
179,0
180,1
181,0
182,0
183,0
184,0
185,1
186,1
187,0
188,1
189,1
190,0
191,0
192,0
193,0
194,0
195,1
196,1
197,0
198,0
199,0
200,0
201,0
202,1
203,1
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,1
213,0
214,1
215,0
216,1
217,0
218,0
219,1
220,1
221,1
222,1
223,0
224,0
225,0
226,0
227,0
228,1
229,0
230,1
231,0
232,1
233,1
234,0
235,0
236,0
237,1
238,1
239,0
240,1
241,0
242,0
243,1
244,0
245,0
246,0
247,1
248,1
249,0
250,0
251,0
252,0
253,0
254,1
255,0
256,1
257,0
258,0
259,0
260,1
261,0
262,0
263,1
264,1
265,1
266,0
267,0
268,0
269,1
270,0
271,1
272,0
273,0
274,1
275,0
276,1
277,0
278,0
279,0
280,1
281,0
282,0
283,0
284,0
285,1
286,1
287,0
288,1
289,1
290,0
291,0
292,0
293,0
294,0
295,1
296,1
297,0
298,0
299,0
300,0
301,0
302,1
303,1
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,1
313,0
314,1
315,0
316,1
317,0
318,0
319,1
320,1
321,1
322,1
323,0
324,0
325,0
326,0
327,0
328,1
329,0
330,1
331,0
332,1
333,1
334,0
335,0
336,0
337,1
338,1
339,0
340,1
341,0
342,0
343,1
344,0
345,0
346,0
347,1
348,1
349,0
350,0
351,0
352,0
353,0
354,1
355,0
356,1
357,0
358,0
359,0
360,1
361,0
362,0
363,1
364,1
365,1
366,0
367,0
368,0
369,1
370,0
371,1
372,0
373,0
374,1
375,0
376,1
377,0
378,0
379,0
380,1
381,0
382,0
383,0
384,0
385,1
386,1
387,0
388,1
389,1
390,0
391,0
392,0
393,0
394,0
395,1
396,1
397,0
398,0
399,0
400,0
401,0
402,1
403,1
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,1
413,0
414,1
415,0
416,1
417,0
418,0
