27	12	5	1
7	25	23	1
8	25	4	1
25	20	15	1
10	21	12	1
25	5	5	1
8	20	4	1
23	29	28	1
7	33	14	1
23	7	3	1
25	9	8	1
24	12	19	1
20	2	23	1
24	7	8	1
8	33	23	1
30	12	5	1
22	10	18	1
25	5	14	1
11	4	2	1
27	12	23	1
7	12	1	1
24	7	23	1
30	12	28	1
25	33	5	1
7	33	8	1
30	29	21	1
6	5	28	1
23	7	8	1
20	9	23	1
25	25	14	1
23	8	28	1
30	2	8	1
31	21	6	1
7	25	14	1
25	33	8	1
11	11	2	1
7	25	3	1
8	2	14	1
23	12	5	1
6	25	28	1
25	2	28	1
21	12	14	1
30	29	3	1
8	29	13	1
6	2	28	1
28	16	12	1
28	1	25	1
7	5	28	1
27	33	13	1
6	2	13	1
10	1	12	1
23	9	14	1
30	5	5	1
26	21	25	1
23	8	21	1
7	7	1	1
8	9	14	1
6	33	19	1
30	12	8	1
7	25	28	1
30	8	4	1
8	8	3	1
7	5	13	1
7	33	5	1
6	25	15	1
23	5	15	1
25	8	14	1
29	3	11	1
22	32	18	1
25	29	28	1
7	33	21	1
6	9	1	1
31	1	6	1
23	30	15	1
6	20	23	1
27	29	1	1
8	33	28	1
21	9	3	1
26	26	17	1
8	2	8	1
23	29	5	1
27	30	15	1
6	25	1	1
21	33	3	1
20	29	4	1
25	8	1	1
7	8	28	1
24	5	5	1
30	12	23	1
26	1	25	1
24	25	15	1
20	29	8	1
25	30	1	1
27	8	1	1
27	2	21	1
10	21	6	1
23	20	14	1
30	33	28	1
7	5	5	1
8	33	4	1
7	29	15	1
27	29	8	1
30	9	21	1
21	25	23	1
24	33	1	1
10	19	6	1
7	20	23	1
24	5	19	1
24	33	23	1
30	8	19	1
27	2	19	1
6	7	23	1
7	29	14	1
7	33	15	1
15	3	27	1
21	9	1	1
25	5	8	1
6	25	13	1
6	12	5	1
24	33	13	1
24	12	23	1
25	30	5	1
23	25	8	1
21	5	23	1
24	5	21	1
7	33	28	1
24	9	23	1
27	7	23	1
6	8	4	1
6	33	23	1
6	9	3	1
20	30	21	1
10	16	6	1
21	2	8	1
