"user_id","donates"
1,3.73
2,1
3,1
4,1
5,1
6,1.08
7,3.51
8,2.67
9,1
10,3.67
11,1
12,1
13,1.95
14,1
15,1
16,1
17,1
18,1
19,4.37
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,20.12
36,1.36
37,1
38,35.15
39,1.23
40,1
41,1.04
42,1.25
43,1
44,1
45,4.32
46,9.93
47,3.37
48,1
49,1
50,3.09
51,1.18
52,5.33
53,1
54,1.75
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,2.02
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,5.2
71,2.51
72,1
73,1.8
74,1
75,1
76,1
77,1
78,1
79,1.98
80,1
81,3.31
82,1
83,1
84,1
85,1
86,1
87,1
88,1.98
89,2.08
90,1
91,1
92,1.76
93,1
94,2.96
95,1
96,1
97,1
98,1
99,2.34
100,1
101,3.73
102,1
103,1
104,1
105,1
106,1.08
107,3.51
108,2.67
109,1
110,3.67
111,1
112,1
113,1.95
114,1
115,1
116,1
117,1
118,1
119,4.37
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,20.12
136,1.36
137,1
138,35.15
139,1.23
140,1
141,1.04
142,1.25
143,1
144,1
145,4.32
146,9.93
147,3.37
148,1
149,1
150,3.09
151,1.18
152,5.33
153,1
154,1.75
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,2.02
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,5.2
171,2.51
172,1
173,1.8
174,1
175,1
176,1
177,1
178,1
179,1.98
180,1
181,3.31
182,1
183,1
184,1
185,1
186,1
187,1
188,1.98
189,2.08
190,1
191,1
192,1.76
193,1
194,2.96
195,1
196,1
197,1
198,1
199,2.34
200,1
201,3.73
202,1
203,1
204,1
205,1
206,1.08
207,3.51
208,2.67
209,1
210,3.67
211,1
212,1
213,1.95
214,1
215,1
216,1
217,1
218,1
219,4.37
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,20.12
236,1.36
237,1
238,35.15
239,1.23
240,1
241,1.04
242,1.25
243,1
244,1
245,4.32
246,9.93
247,3.37
248,1
249,1
250,3.09
251,1.18
252,5.33
253,1
254,1.75
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,2.02
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,5.2
271,2.51
272,1
273,1.8
274,1
275,1
276,1
277,1
278,1
279,1.98
280,1
281,3.31
282,1
283,1
284,1
285,1
286,1
287,1
288,1.98
289,2.08
290,1
291,1
292,1.76
293,1
294,2.96
295,1
296,1
297,1
298,1
299,2.34
300,1
301,3.73
302,1
303,1
304,1
305,1
306,1.08
307,3.51
308,2.67
309,1
310,3.67
311,1
312,1
313,1.95
314,1
315,1
316,1
317,1
318,1
319,4.37
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,20.12
336,1.36
337,1
338,35.15
339,1.23
340,1
341,1.04
342,1.25
343,1
344,1
345,4.32
346,9.93
347,3.37
348,1
349,1
350,3.09
351,1.18
352,5.33
353,1
354,1.75
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,2.02
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,5.2
371,2.51
372,1
373,1.8
374,1
375,1
376,1
377,1
378,1
379,1.98
380,1
381,3.31
382,1
383,1
384,1
385,1
386,1
387,1
388,1.98
389,2.08
390,1
391,1
392,1.76
393,1
394,2.96
395,1
396,1
397,1
398,1
399,2.34
400,1
401,3.73
402,1
403,1
404,1
405,1
406,1.08
407,3.51
408,2.67
409,1
410,3.67
411,1
412,1
413,1.95
414,1
415,1
416,1
417,1
418,1
419,4.37
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,20.12
436,1.36
437,1
438,35.15
439,1.23
440,1
441,1.04
442,1.25
443,1
444,1
445,4.32
446,9.93
447,3.37
448,1
449,1
450,3.09
451,1.18
452,5.33
453,1
454,1.75
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,2.02
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,5.2
471,2.51
472,1
473,1.8
474,1
475,1
476,1
477,1
478,1
479,1.98
480,1
481,3.31
482,1
483,1
484,1
485,1
486,1
487,1
488,1.98
489,2.08
490,1
491,1
492,1.76
493,1
494,2.96
495,1
496,1
497,1
498,1
499,2.34
500,1
501,3.73
502,1
503,1
504,1
505,1
506,1.08
507,3.51
508,2.67
509,1
510,3.67
511,1
512,1
513,1.95
514,1
515,1
516,1
517,1
518,1
519,4.37
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,20.12
536,1.36
537,1
538,35.15
539,1.23
540,1
541,1.04
542,1.25
543,1
544,1
545,4.32
546,9.93
547,3.37
548,1
549,1
550,3.09
551,1.18
552,5.33
553,1
554,1.75
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,2.02
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,5.2
571,2.51
572,1
573,1.8
574,1
575,1
576,1
577,1
578,1
579,1.98
580,1
581,3.31
582,1
583,1
584,1
585,1
586,1
587,1
588,1.98
589,2.08
590,1
591,1
592,1.76
593,1
594,2.96
595,1
596,1
597,1
598,1
599,2.34
600,1
601,3.73
602,1
603,1
604,1
605,1
606,1.08
607,3.51
608,2.67
609,1
610,3.67
611,1
612,1
613,1.95
614,1
615,1
616,1
617,1
618,1
619,4.37
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,20.12
636,1.36
637,1
638,35.15
639,1.23
640,1
641,1.04
642,1.25
643,1
644,1
645,4.32
646,9.93
647,3.37
648,1
649,1
650,3.09
651,1.18
652,5.33
653,1
654,1.75
655,1
656,1
657,1
658,1
659,1
660,1
661,1
662,2.02
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,5.2
671,2.51
672,1
673,1.8
674,1
675,1
676,1
677,1
678,1
679,1.98
680,1
681,3.31
682,1
683,1
684,1
685,1
686,1
687,1
688,1.98
689,2.08
690,1
691,1
692,1.76
693,1
694,2.96
695,1
696,1
697,1
698,1
699,2.34
700,1
701,3.73
702,1
703,1
704,1
705,1
706,1.08
707,3.51
708,2.67
709,1
710,3.67
711,1
712,1
713,1.95
714,1
715,1
716,1
717,1
718,1
719,4.37
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,20.12
736,1.36
737,1
738,35.15
739,1.23
740,1
741,1.04
742,1.25
743,1
744,1
745,4.32
746,9.93
747,3.37
748,1
749,1
750,3.09
751,1.18
752,5.33
753,1
754,1.75
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,2.02
763,1
764,1
765,1
766,1
767,1
768,1
769,1
770,5.2
771,2.51
772,1
773,1.8
774,1
775,1
776,1
777,1
778,1
779,1.98
780,1
781,3.31
782,1
783,1
784,1
785,1
786,1
787,1
788,1.98
789,2.08
790,1
791,1
792,1.76
793,1
794,2.96
795,1
796,1
797,1
798,1
799,2.34
800,1
801,3.73
802,1
803,1
804,1
805,1
806,1.08
807,3.51
808,2.67
809,1
810,3.67
811,1
812,1
813,1.95
814,1
815,1
816,1
817,1
818,1
819,4.37
820,1
821,1
822,1
823,1
824,1
825,1
826,1
827,1
828,1
829,1
830,1
831,1
832,1
833,1
834,1
835,20.12
836,1.36
837,1
838,35.15
839,1.23
840,1
841,1.04
842,1.25
843,1
844,1
845,4.32
846,9.93
847,3.37
848,1
849,1
850,3.09
851,1.18
852,5.33
853,1
854,1.75
855,1
856,1
857,1
858,1
859,1
860,1
861,1
862,2.02
863,1
864,1
865,1
866,1
867,1
868,1
869,1
870,5.2
871,2.51
872,1
873,1.8
874,1
875,1
876,1
877,1
878,1
879,1.98
880,1
881,3.31
882,1
883,1
884,1
885,1
886,1
887,1
888,1.98
889,2.08
890,1
891,1
892,1.76
893,1
894,2.96
895,1
896,1
897,1
898,1
899,2.34
900,1
901,3.73
902,1
903,1
904,1
905,1
906,1.08
907,3.51
908,2.67
909,1
910,3.67
911,1
912,1
913,1.95
914,1
915,1
916,1
917,1
918,1
919,4.37
920,1
921,1
922,1
923,1
924,1
925,1
926,1
927,1
928,1
929,1
930,1
931,1
932,1
933,1
934,1
935,20.12
936,1.36
937,1
938,35.15
939,1.23
940,1
941,1.04
942,1.25
943,1
944,1
945,4.32
946,9.93
947,3.37
948,1
949,1
950,3.09
951,1.18
952,5.33
953,1
954,1.75
955,1
956,1
957,1
958,1
959,1
960,1
961,1
962,2.02
963,1
964,1
965,1
966,1
967,1
968,1
969,1
970,5.2
971,2.51
972,1
973,1.8
974,1
975,1
976,1
977,1
978,1
979,1.98
980,1
981,3.31
982,1
983,1
984,1
985,1
986,1
987,1
988,1.98
989,2.08
990,1
991,1
992,1.76
993,1
994,2.96
995,1
996,1
997,1
998,1
999,2.34
1000,1
